,cum_pnl,max_pnl,drawdown
7/1/1980,-96455,-96455,0
7/2/1980,-758095,-96455,661640
7/21/1980,-2466465,-96455,2370010
7/22/1980,-2838465,-96455,2742010
7/29/1980,-3289282.5,-96455,3192827.5
7/30/1980,-3471352.5,-96455,3374897.5
9/22/1980,-3429727.5,-96455,3333272.5
9/23/1980,-3436672.5,-96455,3340217.5
9/25/1980,-3855367.5,-96455,3758912.5
9/26/1980,-4315612.5,-96455,4219157.5
9/29/1980,-4383342.5,-96455,4286887.5
10/2/1980,-4477067.5,-96455,4380612.5
10/3/1980,-4864517.5,-96455,4768062.5
10/9/1980,-5481770.5,-96455,5385315.5
10/24/1980,-5492385.5,-96455,5395930.5
11/10/1980,-4095191.75,-96455,3998736.75
11/11/1980,-4332686.75,-96455,4236231.75
11/24/1980,-3679566.75,-96455,3583111.75
12/4/1980,-3153359.25,-96455,3056904.25
12/9/1980,-3669644.25,-96455,3573189.25
12/19/1980,-2372719.25,-96455,2276264.25
12/22/1980,-2364587.25,-96455,2268132.25
12/23/1980,-2450387.25,-96455,2353932.25
12/29/1980,-1215347.25,-96455,1118892.25
1/20/1981,-1439747.25,-96455,1343292.25
1/28/1981,-1295454.75,-96455,1198999.75
2/9/1981,1714835.25,1714835.25,0
2/19/1981,2595497.75,2595497.75,0
3/13/1981,2346647.75,2595497.75,248850
3/16/1981,1247077.75,2595497.75,1348420
3/17/1981,2318557.75,2595497.75,276940
3/18/1981,3284535.25,3284535.25,0
3/20/1981,4089875.25,4089875.25,0
3/23/1981,3243055.25,4089875.25,846820
4/7/1981,2815160.25,4089875.25,1274715
5/19/1981,4805846.65,4805846.65,0
6/4/1981,4251664.65,4805846.65,554182
6/15/1981,7227372.15,7227372.15,0
6/18/1981,7491992.15,7491992.15,0
6/29/1981,7543232.15,7543232.15,0
7/6/1981,10073147.15,10073147.15,0
7/10/1981,11268187.15,11268187.15,0
7/13/1981,10907932.15,11268187.15,360255
7/28/1981,11305232.15,11305232.15,0
8/6/1981,12422432.15,12422432.15,0
8/11/1981,13597292.15,13597292.15,0
8/13/1981,13895742.15,13895742.15,0
8/17/1981,13871942.15,13895742.15,23800
8/18/1981,14785312.15,14785312.15,0
8/19/1981,15133687.15,15133687.15,0
8/21/1981,14163209.65,15133687.15,970477.5
9/15/1981,13795852.15,15133687.15,1337835
10/5/1981,12973387.15,15133687.15,2160300
10/9/1981,14586963.15,15133687.15,546724
10/12/1981,16165038.15,16165038.15,0
10/30/1981,15804470.95,16165038.15,360567.2
11/3/1981,15421783.45,16165038.15,743254.7
11/16/1981,14891171.45,16165038.15,1273866.7
11/23/1981,14812128.95,16165038.15,1352909.2
12/2/1981,14657793.95,16165038.15,1507244.2
12/4/1981,16855623.95,16855623.95,0
12/8/1981,16645038.95,16855623.95,210585
12/11/1981,16784958.95,16855623.95,70665
12/18/1981,19194849.75,19194849.75,0
12/23/1981,19636164.75,19636164.75,0
12/28/1981,22752122.25,22752122.25,0
1/6/1982,24408702.25,24408702.25,0
1/14/1982,23913122.25,24408702.25,495580
1/18/1982,25034629.25,25034629.25,0
