"","x"
"1980-07-01",-96455
"1980-07-02",-661640
"1980-07-21",-1708370
"1980-07-22",-372000
"1980-07-29",-450817.499999998
"1980-07-30",-182070.000000002
"1980-09-22",41625.0000000004
"1980-09-23",-6945
"1980-09-25",-418695
"1980-09-26",-460245
"1980-09-29",-67729.9999999993
"1980-10-02",-93725
"1980-10-03",-387450
"1980-10-09",-617253
"1980-10-24",-10615
"1980-11-10",1397193.75
"1980-11-11",-237495
"1980-11-24",653120
"1980-12-04",526207.5
"1980-12-09",-516285
"1980-12-19",1296925
"1980-12-22",8132.00000000054
"1980-12-23",-85800
"1980-12-29",1235040
"1981-01-20",-224400
"1981-01-28",144292.5
"1981-02-09",3010290
"1981-02-19",880662.499999999
"1981-03-13",-248850
"1981-03-16",-1099570
"1981-03-17",1071480
"1981-03-18",965977.500000005
"1981-03-20",805340
"1981-03-23",-846820
"1981-04-07",-427895
"1981-05-19",1990686.4
"1981-06-04",-554182
"1981-06-15",2975707.5
"1981-06-18",264620
"1981-06-29",51240.0000000009
"1981-07-06",2529915
"1981-07-10",1195040
"1981-07-13",-360255
"1981-07-28",397300
"1981-08-06",1117200
"1981-08-11",1174860
"1981-08-13",298450
"1981-08-17",-23800.0000000002
"1981-08-18",913370
"1981-08-19",348374.999999998
"1981-08-21",-970477.500000002
"1981-09-15",-367357.5
"1981-10-05",-822465
"1981-10-09",1613576
"1981-10-12",1578075
"1981-10-30",-360567.2
"1981-11-03",-382687.5
"1981-11-16",-530612
"1981-11-23",-79042.5
"1981-12-02",-154335
"1981-12-04",2197830
"1981-12-08",-210585.000000002
"1981-12-11",139920.000000003
"1981-12-18",2409890.8
"1981-12-23",441315.000000001
"1981-12-28",3115957.5
"1982-01-06",1656580
"1982-01-14",-495579.999999997
"1982-01-18",1121507
"1982-02-04",-361555.000000001
"1982-02-11",876128.000000001
"1982-02-22",-1210457.5
"1982-03-05",-785880
"1982-03-10",1293516.4
"1982-03-17",-706875
"1982-03-22",-260972
"1982-04-01",-133860
"1982-04-05",2259160
"1982-04-12",571949.999999999
"1982-04-23",211402.5
"1982-04-28",-554730
"1982-04-29",314903.749999997
"1982-05-06",-34542.4999999986
"1982-05-26",142250
"1982-06-11",-572550
"1982-06-21",347025.000000002
"1982-06-28",1839137.5
"1982-06-29",3087735
"1982-07-08",20520
"1982-07-09",1318680.00000001
"1982-07-23",1280193.75
"1982-08-20",-906158.999999999
"1982-08-23",-549747.5
"1982-08-25",3428320
"1982-08-31",-350664.999999998
"1982-09-10",-258210
"1982-09-27",-637280
"1982-10-07",-529980
"1982-10-11",20142.5000000003
"1982-10-13",-860170.000000001
"1982-10-20",-704990
"1982-11-01",2167485
"1982-11-05",-155680
"1982-11-10",-586740
"1982-11-22",-101920
"1982-11-24",-1710.00000000161
"1982-11-30",802831.250000001
"1982-12-09",561149.999999998
"1983-01-19",-227132.5
"1983-01-24",1537590
"1983-01-25",-549129.999999998
"1983-01-26",-214662
"1983-02-22",2155220
"1983-02-23",1910270
"1983-02-24",-394930
"1983-02-28",432480
"1983-03-04",-254890
"1983-03-08",-328409.999999998
"1983-03-17",-503370
"1983-04-05",534577.499999999
"1983-04-06",609934.999999998
"1983-04-15",-413820
"1983-04-18",-547180
"1983-05-11",2497340
"1983-05-19",-476959.999999996
"1983-05-20",-560339.999999999
"1983-06-02",-1017600
"1983-06-03",-200750
"1983-06-13",-195250
"1983-06-21",-192390
"1983-06-22",253387.499999999
"1983-06-30",-447330
"1983-07-01",157675.000000001
"1983-07-07",-265920
"1983-07-15",-456032.499999999
"1983-07-20",-1416355
"1983-08-08",-76800
"1983-08-15",421992.5
"1983-08-16",-287280.000000003
"1983-08-17",-692164.999999998
"1983-08-19",482560
"1983-08-24",-659340.000000003
"1983-08-30",-1006940
"1983-09-13",-1042760
"1983-09-14",-607425
"1983-09-15",-1118410
"1983-09-19",-42187.5
"1983-09-28",-566114.999999999
"1983-09-30",-44888
"1983-10-07",-811282.500000001
"1983-10-10",1477887.5
"1983-10-19",3293070
"1983-10-27",-444360
"1983-11-04",-643885.000000005
"1983-11-28",1076552.5
"1983-11-30",1514130
"1983-12-16",70862.4000000001
"1983-12-22",-211119.999999998
"1983-12-27",-716119.999999975
"1983-12-29",-385704.999999997
"1984-01-11",-638260
"1984-01-13",-649420.000000016
"1984-01-16",-295981.249999999
"1984-01-17",348660.000000001
"1984-02-01",-698710
"1984-02-02",-704762.999999999
"1984-02-03",816250
"1984-02-22",-488774.999999991
"1984-02-29",315180
"1984-03-01",-267637.5
"1984-03-02",-26020
"1984-03-16",-570975
"1984-04-12",-488360
"1984-04-25",-712960
"1984-04-26",-447990
"1984-05-01",-102199.999999999
"1984-05-15",1999170
"1984-05-23",500639.999999993
"1984-05-31",-260820
"1984-06-01",-180215
"1984-06-04",2522906.25000002
"1984-06-07",-133302.4
"1984-07-23",5383319.99999995
"1984-08-01",2564693
"1984-08-02",-15750.4000000015
"1984-08-03",5160580
"1984-08-15",-596457.5
"1984-08-22",331200.000000002
"1984-09-04",-622500
"1984-09-10",-312107.5
"1984-10-15",250955.000000001
"1984-10-18",-857038.000000001
"1984-10-22",526679.999999999
"1984-10-23",-480722.5
"1984-10-25",3327372.50000001
"1984-11-02",-171855
"1984-11-05",1428090
"1984-11-26",-545160
"1984-12-06",1246655
"1984-12-07",-672515.999999999
"1984-12-13",-762990
"1984-12-18",-871062.500000002
"1985-01-07",-386340.000000001
"1985-01-10",-308302.5
"1985-01-14",215359.999999995
"1985-01-17",-668730.000000001
"1985-01-18",-173863
"1985-01-31",350740
"1985-02-01",3663650
"1985-02-06",-282510
"1985-02-15",1820227.5
"1985-02-27",6061002.5
"1985-03-13",-7330.0000000032
"1985-03-18",2488880
"1985-03-19",-3054942.5
"1985-04-08",768420
"1985-04-12",-381038.599999999
"1985-04-17",-565312.5
"1985-04-22",-459957.499999999
"1985-05-01",-448400.000000001
"1985-06-04",869155
"1985-06-06",-39260
"1985-06-11",-484305
"1985-06-13",-324757.5
"1985-06-18",221735
"1985-06-21",2614515.00000001
"1985-07-12",-543920
"1985-07-16",-683850
"1985-07-17",-622660
"1985-07-22",-722099.999999987
"1985-07-24",-746124.999999998
"1985-07-30",-850420
"1985-08-02",804757.5
"1985-08-06",1078282.5
"1985-08-14",1679912.5
"1985-08-15",396160
"1985-08-16",-666540
"1985-08-29",-126899.999999999
"1985-09-03",-1245985
"1985-09-05",487770
"1985-09-13",-265056
"1985-09-16",-878940
"1985-09-24",1793737.5
"1985-10-01",224360.000000001
"1985-10-02",-392872.499999999
"1985-10-03",-761600
"1985-10-14",-500430.000000001
"1985-10-29",-434160
