"","x"
"1",0
"2",550399.999999999
"3",1220.0000000021
"4",0
"5",4.24915924668312e-09
"6",748200.000000003
"7",0
"8",0
"9",0
"10",471960.000000001
"11",1062060
"12",945060.000000001
"13",1590630
"14",1793690
"15",468169.999999995
"16",1427099.99999999
"17",1729699.99999999
"18",2087379.99999999
"19",2270420
"20",2552280
"21",2793080
"22",3273320
"23",3736560
"24",4169000
"25",3986280
"26",1741800
"27",1783710
"28",1132710
"29",1747350
"30",1865910
"31",1115910
"32",1619340
"33",2532660
"34",2149459.99999999
"35",1708279.99999999
